Tue May 10 20:00:00 EDT 2016,6.7E-7,6.4E-7,6.5E-7,6.5E-7,31.62113967,2E-8,0
Wed May 11 20:00:00 EDT 2016,6.6E-7,6.2E-7,6.5E-7,6.2E-7,24.54668035,7.8E-8,0
Thu May 12 20:00:00 EDT 2016,6.3E-7,6.0E-7,6.2E-7,6.2E-7,32.50134468,7.8E-8,1
Fri May 13 20:00:00 EDT 2016,6.1E-7,5.6E-7,6.1E-7,5.8E-7,51.88466288,7.8E-8,0
Sat May 14 20:00:00 EDT 2016,5.9E-7,5.6E-7,5.9E-7,5.7E-7,19.2728719,7.8E-8,0
Sun May 15 20:00:00 EDT 2016,5.9E-7,5.6E-7,5.7E-7,5.8E-7,29.35588199,7.8E-8,2
Mon May 16 20:00:00 EDT 2016,6.6E-7,5.7E-7,5.7E-7,6.1E-7,101.20296248,7.8E-8,3
Tue May 17 20:00:00 EDT 2016,6.4E-7,5.9E-7,6.1E-7,6.0E-7,26.35636767,7.8E-8,-1
Wed May 18 20:00:00 EDT 2016,6.6E-7,6.0E-7,6.0E-7,6.4E-7,54.72311056,7.8E-8,7
Thu May 19 20:00:00 EDT 2016,7.2E-7,6.3E-7,6.4E-7,6.6E-7,122.81436002,7.8E-8,0
Fri May 20 20:00:00 EDT 2016,7.3E-7,6.4E-7,6.5E-7,7.0E-7,88.20947829,7.8E-8,0
Sat May 21 20:00:00 EDT 2016,7.6E-7,7.0E-7,7.0E-7,7.1E-7,123.51152298,7.8E-8,0
Sun May 22 20:00:00 EDT 2016,7.4E-7,6.6E-7,7.1E-7,6.6E-7,59.4304554,7.8E-8,-2
Mon May 23 20:00:00 EDT 2016,9.1E-7,6.3E-7,6.6E-7,6.5E-7,439.52674275,7.8E-8,-4
Tue May 24 20:00:00 EDT 2016,7.6E-7,6.4E-7,6.4E-7,7.2E-7,193.37292215,7.8E-8,0
Wed May 25 20:00:00 EDT 2016,7.4E-7,6.7E-7,7.3E-7,6.8E-7,112.02238631,7.8E-8,-1
Thu May 26 20:00:00 EDT 2016,6.9E-7,6.1E-7,6.9E-7,6.4E-7,77.4784294,7.8E-8,-7
